,Class
0,6
1,10
2,7
3,3
4,3
5,3
6,10
7,9
8,0
9,10
10,5
11,4
12,10
13,10
14,0
15,9
16,6
17,9
18,7
19,2
20,6
21,8
22,4
23,6
24,5
25,8
26,9
27,5
28,9
29,10
30,2
31,10
32,5
33,6
34,4
35,9
36,3
37,5
38,9
39,2
40,10
41,9
42,3
43,5
44,6
45,3
46,9
47,10
48,10
49,5
50,10
51,10
52,5
53,9
54,10
55,5
56,3
57,10
58,10
59,9
60,9
61,1
62,0
63,9
64,0
65,3
66,0
67,10
68,3
69,0
70,3
71,5
72,7
73,8
74,5
75,6
76,10
77,9
78,10
79,3
80,10
81,6
82,6
83,9
84,8
85,4
86,3
87,10
88,5
89,6
90,10
91,8
92,10
93,9
94,6
95,9
96,4
97,5
98,6
99,2
100,5
101,6
102,9
103,9
104,6
105,6
106,9
107,9
108,5
109,5
110,9
111,9
112,5
113,3
114,10
115,9
116,9
117,4
118,6
119,9
120,10
121,9
122,5
123,0
124,8
125,8
126,1
127,9
128,9
129,9
130,6
131,6
132,2
133,10
134,9
135,2
136,10
137,0
138,9
139,1
140,0
141,5
142,3
143,10
144,10
145,6
146,9
147,7
148,3
149,3
150,9
151,6
152,9
153,4
154,6
155,9
156,5
157,9
158,9
159,5
160,0
161,9
162,5
163,1
164,5
165,10
166,10
167,0
168,5
169,9
170,10
171,3
172,5
173,10
174,9
175,2
176,1
177,9
178,3
179,9
180,6
181,0
182,9
183,10
184,9
185,9
186,5
187,0
188,9
189,2
190,5
191,9
192,10
193,9
194,9
195,10
196,0
197,8
198,3
199,9
200,6
201,9
202,6
203,10
204,6
205,6
206,6
207,5
208,0
209,4
210,10
211,0
212,3
213,9
214,1
215,5
216,9
217,6
218,9
219,4
220,6
221,1
222,6
223,1
224,2
225,6
226,9
227,7
228,9
229,5
230,9
231,1
232,5
233,3
234,5
235,0
236,4
237,9
238,10
239,5
240,9
241,6
242,3
243,8
244,5
245,10
246,6
247,8
248,10
249,5
250,9
251,6
252,6
253,7
254,9
255,7
256,10
257,6
258,3
259,1
260,5
261,9
262,9
263,4
264,4
265,3
266,5
267,6
268,5
269,9
270,9
271,9
272,9
273,9
274,9
275,10
276,5
277,0
278,10
279,8
280,6
281,9
282,6
283,3
284,5
285,9
286,5
287,6
288,9
289,3
290,10
291,6
292,10
293,6
294,6
295,0
296,5
297,9
298,8
299,4
300,9
301,9
302,3
303,5
304,1
305,6
306,10
307,4
308,3
309,10
310,6
311,5
312,5
313,4
314,9
315,4
316,3
317,9
318,4
319,9
320,10
321,9
322,5
323,9
324,10
325,0
326,5
327,9
328,5
329,10
330,10
331,10
332,0
333,6
334,6
335,5
336,10
337,8
338,10
339,3
340,3
341,5
342,0
343,5
344,9
345,5
346,6
347,10
348,6
349,9
350,7
351,9
352,9
353,3
354,2
355,9
356,3
357,5
358,10
359,9
360,3
361,5
362,9
363,10
364,6
365,1
366,10
367,5
368,9
369,9
370,10
371,1
372,1
373,10
374,9
375,7
376,3
377,3
378,9
379,2
380,10
381,5
382,10
383,6
384,10
385,5
386,5
387,10
388,0
389,10
390,8
391,8
392,4
393,10
394,6
395,5
396,6
397,10
398,8
399,3
400,5
401,5
402,0
403,3
404,9
405,5
406,9
407,10
408,9
409,8
410,9
411,9
412,2
413,3
414,4
415,8
416,9
417,9
418,6
419,0
