,Class
0,2
1,0
2,9
3,7
4,5
5,10
6,0
7,1
8,10
9,6
10,5
11,3
12,5
13,9
14,3
15,6
16,10
17,9
18,0
19,9
20,9
21,9
22,9
23,3
24,0
25,9
26,4
27,0
28,5
29,3
30,10
31,8
32,9
33,10
34,0
35,9
36,2
37,3
38,4
39,4
40,10
41,1
42,6
43,6
44,3
45,9
46,10
47,9
48,6
49,1
50,10
51,4
52,9
53,3
54,5
55,9
56,5
57,0
58,9
59,4
60,9
61,7
62,5
63,0
64,9
65,7
66,5
67,1
68,6
69,10
70,10
71,9
72,10
73,5
74,9
75,9
76,3
77,5
78,5
79,6
80,5
81,2
82,6
83,9
84,9
85,6
86,6
87,6
88,3
89,3
90,6
91,6
92,4
93,1
94,10
95,9
96,9
97,9
98,5
99,10
100,5
101,9
102,2
103,10
104,5
105,9
106,3
107,10
108,10
109,10
110,9
111,8
112,4
113,3
114,5
115,10
116,10
117,3
118,5
119,5
120,8
121,2
122,5
123,2
124,9
125,5
126,9
127,10
128,5
129,0
130,9
131,7
132,8
133,10
134,3
135,6
136,10
137,4
138,6
139,5
140,5
141,5
142,6
143,3
144,9
145,6
146,7
147,10
148,10
149,10
150,9
151,5
152,10
153,10
154,2
155,7
156,6
157,0
158,8
159,5
160,10
161,3
162,5
163,9
164,4
165,3
166,5
167,6
168,9
169,9
170,9
171,6
172,10
173,9
174,6
175,5
176,1
177,0
178,10
179,6
180,8
181,10
182,4
183,6
184,10
185,9
186,5
187,3
188,1
189,9
190,10
191,9
192,9
193,9
194,3
195,8
196,6
197,3
198,5
199,10
200,3
201,9
202,6
203,0
204,3
205,1
206,9
207,7
208,4
209,6
210,9
211,6
212,2
213,0
214,8
215,9
216,0
217,9
218,5
219,10
220,6
221,10
222,5
223,3
224,5
225,6
226,0
227,8
228,9
229,10
230,4
231,9
232,3
233,3
234,5
235,5
236,9
237,10
238,10
239,6
240,5
241,9
242,9
243,5
244,9
245,9
246,2
247,6
248,9
249,6
250,10
251,10
252,9
253,5
254,5
255,3
256,5
257,8
258,7
259,0
260,5
261,0
262,0
263,2
264,0
265,6
266,6
267,5
268,0
269,1
270,6
271,6
272,6
273,9
274,8
275,10
276,9
277,9
278,8
279,9
280,10
281,1
282,9
283,6
284,10
285,9
286,2
287,5
288,5
289,4
290,0
291,3
292,9
293,10
294,3
295,10
296,9
297,9
298,6
299,6
300,8
301,3
302,0
303,6
304,10
305,9
306,9
307,0
308,8
309,9
310,4
311,10
312,9
313,3
314,4
315,10
316,10
317,5
318,9
319,6
320,10
321,9
322,6
323,9
324,4
325,10
326,5
327,9
328,6
329,10
330,9
331,9
332,8
333,10
334,9
335,0
336,6
337,6
338,9
339,10
340,9
341,9
342,10
343,5
344,2
345,6
346,10
347,9
348,5
349,5
350,3
351,3
352,9
353,5
354,9
355,10
356,4
357,3
358,9
359,8
360,5
361,9
362,3
363,5
364,9
365,9
366,9
367,0
368,9
369,9
370,5
371,9
372,5
373,5
374,10
375,9
376,10
377,5
378,9
379,9
380,3
381,1
382,7
383,1
384,9
385,9
386,4
387,8
388,10
389,8
390,5
391,9
392,6
393,3
394,6
395,10
396,6
397,10
398,6
399,5
400,10
401,5
402,10
403,3
404,10
405,3
406,10
407,4
408,1
409,5
410,1
411,3
412,10
413,9
414,6
415,5
416,9
417,6
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,5
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,6
890,6
891,6
892,6
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,7
984,8
985,8
986,8
987,8
988,8
989,8
990,8
991,8
992,8
993,8
994,8
995,8
996,8
997,8
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,8
1038,8
1039,8
1040,8
1041,8
1042,8
1043,8
1044,8
1045,8
1046,8
1047,8
1048,8
1049,8
1050,8
1051,8
1052,8
1053,8
1054,8
1055,8
1056,8
1057,8
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,8
1065,8
1066,10
1067,10
1068,10
1069,10
1070,10
1071,10
1072,10
1073,10
1074,10
1075,10
1076,10
1077,10
1078,10
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,10
1087,10
1088,10
1089,10
1090,10
1091,10
1092,10
1093,10
1094,10
1095,10
1096,10
1097,10
