,Class
0,6
1,9
2,9
3,5
4,9
5,3
6,5
7,10
8,9
9,5
10,0
11,3
12,5
13,9
14,9
15,10
16,9
17,6
18,5
19,0
20,7
21,9
22,6
23,8
24,1
25,10
26,6
27,5
28,10
29,6
30,7
31,6
32,6
33,5
34,8
35,7
36,3
37,6
38,9
39,5
40,1
41,9
42,0
43,0
44,1
45,3
46,2
47,10
48,7
49,5
50,9
51,6
52,0
53,10
54,10
55,5
56,0
57,0
58,10
59,3
60,9
61,9
62,6
63,10
64,9
65,6
66,10
67,5
68,6
69,4
70,10
71,6
72,3
73,9
74,3
75,6
76,10
77,9
78,9
79,5
80,9
81,1
82,10
83,10
84,6
85,6
86,3
87,9
88,0
89,10
90,5
91,8
92,6
93,1
94,8
95,5
96,10
97,0
98,6
99,9
100,0
101,9
102,3
103,5
104,3
105,6
106,9
107,6
108,5
109,9
110,3
111,5
112,4
113,10
114,10
115,9
116,9
117,5
118,8
119,5
120,5
121,9
122,6
123,2
124,0
125,9
126,3
127,3
128,9
129,9
130,5
131,7
132,7
133,10
134,10
135,9
136,10
137,8
138,3
139,4
140,5
141,5
142,3
143,0
144,2
145,10
146,5
147,5
148,6
149,6
150,10
151,0
152,4
153,5
154,1
155,3
156,9
157,1
158,9
159,9
160,5
161,6
162,4
163,5
164,5
165,6
166,2
167,3
168,3
169,9
170,1
171,6
172,9
173,7
174,6
175,9
176,9
177,2
178,2
179,6
180,10
181,3
182,6
183,4
184,10
185,6
186,7
187,9
188,6
189,9
190,4
191,9
192,10
193,5
194,8
195,3
196,9
197,3
198,5
199,4
200,9
201,9
202,4
203,0
204,10
205,9
206,5
207,9
208,5
209,6
210,2
211,10
212,9
213,9
214,9
215,5
216,10
217,1
218,9
219,5
220,1
221,9
222,6
223,8
224,10
225,9
226,6
227,3
228,3
229,6
230,0
231,9
232,5
233,6
234,6
235,6
236,10
237,3
238,10
239,9
240,5
241,6
242,9
243,9
244,0
245,9
246,9
247,2
248,9
249,10
250,3
251,10
252,9
253,9
254,5
255,9
256,9
257,6
258,5
259,8
260,4
261,5
262,2
263,3
