,Class
0,3
1,5
2,9
3,9
4,9
5,9
6,1
7,10
8,6
9,3
10,5
11,10
12,6
13,4
14,5
15,6
16,4
17,5
18,0
19,6
20,2
21,3
22,5
23,5
24,10
25,9
26,10
27,1
28,6
29,9
30,5
31,9
32,5
33,0
34,6
35,9
36,9
37,2
38,9
39,5
40,5
41,5
42,2
43,10
44,3
45,8
46,0
47,2
48,9
49,9
50,9
51,9
52,10
53,8
54,10
55,5
56,10
57,9
58,6
59,5
60,6
61,8
62,10
63,0
64,10
65,7
66,9
67,0
68,9
69,6
70,6
71,2
72,1
73,10
74,7
75,0
76,5
77,0
78,10
79,9
80,10
81,9
82,5
83,3
84,0
85,9
86,9
87,9
88,0
89,9
90,5
91,10
92,7
93,6
94,10
95,9
96,9
97,10
98,8
99,3
100,8
101,5
102,4
103,5
104,10
105,1
106,6
107,4
108,6
109,9
110,5
111,6
112,1
113,1
114,0
115,9
116,9
117,9
118,5
119,6
120,2
121,3
122,3
123,3
124,10
125,3
126,6
127,5
128,3
129,10
130,10
131,0
132,5
133,5
134,6
135,5
136,8
137,5
138,3
139,3
140,0
141,5
142,6
143,10
144,0
145,9
146,2
147,9
148,5
149,10
150,0
151,10
152,9
153,5
154,3
155,9
156,2
157,8
158,9
159,9
160,9
161,9
162,5
163,3
164,3
165,9
166,10
167,9
168,9
169,9
170,10
171,3
172,8
173,0
174,5
175,6
176,8
177,6
178,4
179,3
180,4
181,5
182,6
183,9
184,3
185,6
186,9
187,5
188,6
189,9
190,1
191,5
192,5
193,3
194,8
195,4
196,1
197,6
198,10
199,5
200,5
201,6
202,6
203,0
204,4
205,6
206,4
207,9
208,9
209,5
210,3
211,9
212,7
213,9
214,9
215,10
216,6
217,10
218,5
219,3
220,9
221,10
222,6
223,10
224,10
225,9
226,9
227,9
228,6
229,9
230,3
231,9
232,10
233,6
234,0
235,4
236,3
237,4
238,9
239,7
240,6
241,10
242,0
243,9
244,2
245,0
246,8
247,3
248,9
249,6
250,4
251,1
252,10
253,10
254,6
255,10
256,4
257,8
258,10
259,4
260,3
261,5
262,9
263,5
264,10
265,5
266,9
267,9
268,9
269,10
270,0
271,2
272,8
273,3
274,3
275,6
276,9
277,6
278,10
279,10
280,3
281,9
282,9
283,9
284,10
285,6
286,9
287,7
288,0
289,4
290,6
291,6
292,0
293,9
294,1
295,5
296,5
297,5
298,3
299,1
300,10
301,5
302,6
303,10
304,6
305,10
306,10
307,9
308,6
309,1
310,10
311,9
312,4
313,9
314,9
315,10
316,9
317,3
318,9
319,9
320,10
321,9
322,9
323,6
324,9
325,5
326,9
327,5
328,10
329,10
330,9
331,3
332,9
333,6
334,9
335,5
336,6
337,6
338,10
339,9
340,9
341,9
342,2
343,3
344,10
345,5
346,5
347,9
348,4
349,7
350,9
351,5
352,6
353,0
354,9
355,9
356,3
357,10
358,9
359,3
360,5
361,8
362,9
363,10
364,6
365,5
366,9
367,9
368,6
369,6
370,2
371,3
372,10
373,9
374,9
375,10
376,7
377,6
378,10
379,0
380,10
381,0
382,4
383,8
384,9
385,1
386,10
387,5
388,10
389,3
390,5
391,7
392,10
393,3
394,9
395,5
396,4
397,10
398,8
399,8
400,5
