,Class
0,10
1,5
2,5
3,9
4,4
5,6
6,7
7,3
8,10
9,5
10,10
11,4
12,9
13,10
14,10
15,10
16,3
17,4
18,10
19,9
20,9
21,10
22,3
23,10
24,3
25,6
26,7
27,9
28,8
29,9
30,5
31,7
32,6
33,10
34,3
35,9
36,5
37,9
38,9
39,5
40,6
41,9
42,9
43,9
44,9
45,9
46,0
47,6
48,1
49,10
50,10
51,4
52,4
53,0
54,9
55,9
56,6
57,1
58,8
59,6
60,9
61,9
62,9
63,0
64,9
65,1
66,9
67,5
68,10
69,5
70,9
71,6
72,3
73,4
74,9
75,9
76,9
77,10
78,9
79,0
80,1
81,10
82,6
83,6
84,5
85,6
86,6
87,8
88,9
89,5
90,6
91,0
92,6
93,8
94,3
95,6
96,9
97,6
98,6
99,3
100,9
101,2
102,3
103,6
104,0
105,2
106,5
107,3
108,10
109,5
110,10
111,10
112,2
113,2
114,5
115,5
116,9
117,10
118,7
119,4
120,9
121,6
122,9
123,5
124,9
125,4
126,9
127,3
128,5
129,9
130,1
131,9
132,5
133,6
134,0
135,1
136,0
137,8
138,9
139,10
140,5
141,0
142,9
143,10
144,3
145,5
146,8
147,8
148,0
149,3
150,2
151,4
152,3
153,6
154,4
155,9
156,5
157,0
158,6
159,9
160,9
161,1
162,3
163,4
164,6
165,10
166,5
167,7
168,5
169,8
170,0
171,6
172,3
173,9
174,10
175,10
176,9
177,5
178,9
179,10
180,5
181,0
182,6
183,10
184,0
185,4
186,5
187,10
188,0
189,10
190,9
191,9
192,10
193,9
194,2
195,9
196,9
197,10
198,5
199,9
200,3
201,8
202,9
203,6
204,6
205,6
206,3
207,6
208,3
209,5
210,6
211,5
212,6
213,5
214,5
215,10
216,9
217,5
218,0
219,10
220,6
221,9
222,6
223,3
224,9
225,9
226,5
227,10
228,6
229,1
230,2
231,9
232,5
233,3
234,5
235,10
236,9
237,5
238,8
239,2
240,3
241,9
242,1
243,5
244,10
245,6
246,6
247,9
248,6
249,10
250,9
251,10
252,10
253,0
254,9
255,9
256,9
257,9
258,9
259,0
260,5
261,9
262,10
263,5
264,3
265,9
266,5
267,9
268,4
269,4
270,7
271,9
272,5
273,6
274,8
275,5
276,10
277,3
278,5
279,9
280,0
281,9
282,10
283,8
284,9
285,3
286,3
287,9
288,3
289,9
290,6
291,10
292,8
293,10
294,6
295,3
296,9
297,0
298,10
299,9
300,10
301,7
302,3
303,5
304,9
305,10
306,5
307,10
308,4
309,0
310,8
311,9
312,9
313,2
314,1
315,10
316,0
317,4
318,6
319,5
320,8
321,1
322,5
