,Class
0,0
1,4
2,6
3,9
4,9
5,9
6,10
7,9
8,2
9,10
10,9
11,2
12,10
13,5
14,6
15,9
16,3
17,8
18,5
19,10
20,6
21,6
22,9
23,1
24,4
25,9
26,4
27,9
28,1
29,8
30,3
31,9
32,10
33,8
34,6
35,8
36,8
37,1
38,0
39,5
40,10
41,9
42,10
43,3
44,9
45,6
46,4
47,9
48,5
49,7
50,9
51,5
52,10
53,10
54,9
55,10
56,8
57,10
58,0
59,9
60,0
61,0
62,3
63,10
64,3
65,5
66,8
67,9
68,5
69,9
70,9
71,10
72,3
73,5
74,9
75,0
76,3
77,9
78,9
79,9
80,6
81,3
82,5
83,3
84,10
85,5
86,10
87,4
88,10
89,5
90,10
91,3
92,9
93,0
94,5
95,3
96,9
97,6
98,0
99,9
100,8
101,9
102,5
103,10
104,10
105,9
106,5
107,9
108,9
109,6
110,9
111,5
112,10
113,4
114,9
115,4
116,0
117,5
118,6
119,3
120,9
121,5
122,9
123,2
124,9
125,9
126,9
127,9
128,4
129,0
130,10
131,5
132,9
133,5
134,9
135,9
136,10
137,7
138,10
139,5
140,6
141,6
142,5
143,5
144,0
145,10
146,9
147,5
148,5
149,2
150,9
151,5
152,4
153,0
154,0
155,10
156,6
157,3
158,7
159,5
160,5
161,5
162,9
163,3
164,5
165,1
166,9
167,9
168,5
169,1
170,7
171,7
172,0
173,3
174,6
175,1
176,10
177,10
178,9
179,9
180,1
181,3
182,9
183,5
184,5
185,5
186,10
187,8
188,2
189,6
190,6
191,4
192,3
193,3
194,2
195,9
196,5
197,9
198,5
199,9
200,5
201,5
202,6
203,0
204,8
205,3
206,6
207,6
208,7
209,8
210,4
211,10
212,10
213,6
214,9
215,7
216,8
217,9
218,10
219,9
220,3
221,10
222,6
223,3
224,10
225,10
226,3
227,8
228,2
229,9
230,3
231,1
232,0
233,5
234,8
235,3
236,6
237,5
238,10
239,10
240,0
241,1
242,6
243,9
244,3
245,5
246,4
247,9
248,9
249,6
250,6
251,9
252,6
253,9
254,5
255,9
256,2
257,5
258,6
259,3
260,0
261,3
262,9
263,6
264,9
265,5
266,9
267,6
268,1
269,5
270,3
271,6
272,6
273,4
274,0
275,10
276,8
277,10
278,6
279,9
280,6
281,10
282,6
283,6
284,10
285,3
286,10
287,5
288,0
289,4
290,10
291,9
292,9
293,5
294,2
295,6
296,9
297,0
298,7
299,9
300,10
301,3
302,9
303,10
304,10
305,10
306,5
307,10
308,6
309,4
310,9
311,10
312,10
313,9
314,6
315,3
316,6
317,10
318,6
319,3
320,6
321,2
322,6
323,6
324,5
325,9
326,6
327,10
328,3
329,5
330,6
331,9
332,5
333,9
334,0
335,3
336,9
337,9
338,0
339,7
340,9
341,6
342,9
343,9
344,10
345,10
346,9
347,4
348,5
349,3
350,6
351,10
352,5
353,9
354,4
355,10
356,8
357,9
358,9
359,10
360,9
361,9
362,5
363,5
364,10
365,5
366,6
367,10
368,10
369,9
370,9
371,5
372,3
373,10
374,3
375,10
376,9
377,3
378,9
379,6
380,2
381,6
382,9
383,5
384,1
385,5
386,9
387,5
388,5
389,0
390,10
391,5
392,9
393,4
394,4
395,3
396,9
397,1
398,1
399,9
400,9
401,10
402,8
403,1
404,2
405,6
406,9
407,6
408,10
409,8
410,10
411,5
412,6
413,10
414,9
415,6
416,0
417,9
418,10
419,10
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
