,Class
0,3
1,9
2,9
3,3
4,10
5,9
6,9
7,9
8,9
9,0
10,9
11,5
12,6
13,4
14,4
15,4
16,6
17,5
18,4
19,3
20,9
21,10
22,4
23,10
24,5
25,1
26,9
27,5
28,9
29,8
30,10
31,2
32,9
33,10
34,9
35,6
36,10
37,9
38,9
39,6
40,2
41,9
42,5
43,5
44,9
45,5
46,5
47,3
48,3
49,9
50,6
51,10
52,9
53,9
54,10
55,7
56,1
57,10
58,1
59,9
60,9
61,4
62,5
63,9
64,9
65,4
66,10
67,9
68,6
69,5
70,10
71,10
72,0
73,9
74,9
75,10
76,9
77,9
78,0
79,0
80,3
81,9
82,10
83,3
84,9
85,0
86,10
87,10
88,8
89,0
90,1
91,10
92,0
93,5
94,9
95,10
96,6
97,9
98,10
99,9
100,6
101,3
102,9
103,9
104,5
105,6
106,9
107,9
108,10
109,3
110,10
111,9
112,3
113,6
114,4
115,5
116,3
117,3
118,3
119,9
120,5
121,6
122,1
123,3
124,5
125,9
126,10
127,6
128,10
129,9
130,10
131,5
132,10
133,9
134,5
135,0
136,10
137,10
138,6
139,2
140,3
141,9
142,5
143,10
144,5
145,5
146,9
147,5
148,9
149,10
150,10
151,5
152,3
153,3
154,7
155,6
156,3
157,5
158,5
159,5
160,10
161,7
162,9
163,5
164,3
165,10
166,2
167,10
168,10
169,9
170,9
171,5
172,8
173,3
174,6
175,2
176,0
177,8
178,10
179,4
180,8
181,9
182,6
183,4
184,7
185,10
186,10
187,5
188,9
189,5
190,4
191,2
192,9
193,5
194,9
195,8
196,4
197,9
198,5
199,9
200,0
201,6
202,5
203,9
204,10
205,9
206,0
207,10
208,5
209,5
210,6
211,5
212,8
213,0
214,3
215,9
216,6
217,6
218,9
219,6
220,10
221,9
222,10
223,5
224,9
225,0
226,0
227,6
228,9
229,1
230,9
231,10
232,7
233,10
234,3
235,0
236,6
237,9
238,9
239,9
240,5
241,1
242,3
243,0
244,2
245,9
246,0
247,0
248,9
249,9
250,5
251,5
252,6
253,10
254,10
255,9
256,4
257,6
258,8
259,5
260,6
261,3
262,10
263,9
264,6
265,0
266,6
267,10
268,2
269,9
270,6
271,2
272,6
273,9
274,9
275,10
276,1
277,5
278,6
279,0
280,9
281,6
282,5
283,5
284,5
285,10
286,3
287,1
288,9
289,10
290,7
291,10
292,3
293,3
294,5
295,3
296,9
297,3
298,0
299,3
300,6
301,8
302,6
303,5
304,1
305,5
306,10
307,5
308,9
309,5
310,10
311,5
312,10
313,0
314,8
315,6
316,9
317,2
318,6
319,8
320,10
321,9
322,6
323,9
324,6
325,8
326,8
327,4
328,10
329,2
330,9
331,10
332,3
333,9
334,7
335,6
336,9
337,6
338,5
339,6
340,10
341,5
342,4
343,10
344,6
345,5
346,3
347,1
348,10
349,6
350,5
351,9
352,0
353,3
354,10
355,9
356,6
357,6
358,4
359,3
360,6
361,9
362,9
363,9
364,5
365,1
366,9
367,6
368,8
369,0
370,4
371,5
372,8
373,5
374,5
375,1
376,4
377,1
378,9
379,9
380,10
381,6
382,10
383,5
384,9
385,2
386,10
387,6
388,6
389,6
390,6
391,7
392,10
393,6
394,3
395,9
396,9
397,3
398,7
399,3
400,9
401,10
402,3
403,0
404,9
405,9
406,10
407,10
408,9
409,8
410,6
411,4
412,9
413,5
414,5
415,5
416,8
417,9
418,8
419,3
