,Class
0,9
1,9
2,9
3,6
4,6
5,10
6,6
7,6
8,4
9,2
10,10
11,10
12,2
13,6
14,6
15,9
16,2
17,9
18,3
19,10
20,9
21,9
22,6
23,10
24,5
25,9
26,5
27,2
28,3
29,6
30,5
31,0
32,9
33,7
34,10
35,1
36,4
37,5
38,3
39,5
40,5
41,1
42,5
43,6
44,3
45,9
46,0
47,9
48,5
49,10
50,9
51,10
52,3
53,10
54,9
55,10
56,4
57,5
58,9
59,10
60,3
61,9
62,3
63,9
64,1
65,8
66,10
67,6
68,7
69,10
70,6
71,10
72,1
73,4
74,5
75,10
76,6
77,6
78,9
79,10
80,3
81,2
82,6
83,9
84,9
85,9
86,9
87,10
88,1
89,6
90,5
91,10
92,0
93,2
94,1
95,7
96,10
97,3
98,3
99,1
100,3
101,3
102,5
103,10
104,9
105,8
106,5
107,9
108,1
109,1
110,4
111,9
112,10
113,5
114,2
115,6
116,5
117,3
118,9
119,9
120,3
121,5
122,9
123,6
124,10
125,9
126,6
127,10
128,10
129,8
130,5
131,8
132,0
133,4
134,6
135,5
136,9
137,10
138,6
139,9
140,9
141,6
142,3
143,9
144,9
145,8
146,1
147,5
148,5
149,6
150,10
151,9
152,10
153,8
154,0
155,9
156,6
157,9
158,8
159,10
160,9
161,9
162,3
163,5
164,3
165,6
166,9
167,10
168,3
169,10
170,3
171,9
172,6
173,7
174,6
175,9
176,10
177,6
178,6
179,10
180,9
181,4
182,9
183,0
184,10
185,10
186,9
187,10
188,9
189,9
190,0
191,10
192,9
193,9
194,5
195,5
196,6
197,0
198,7
199,4
200,5
201,6
202,5
203,5
204,9
205,3
206,9
207,4
208,10
209,6
210,10
211,0
212,5
213,9
214,5
215,9
216,0
217,2
218,9
219,8
220,10
221,10
222,6
223,5
224,3
225,2
226,9
227,6
228,4
229,3
230,9
231,9
232,9
233,6
234,7
235,5
236,10
237,10
238,3
239,4
240,10
241,9
242,8
243,9
244,0
245,10
246,9
247,9
248,5
249,10
250,9
251,9
252,10
253,1
254,8
255,10
256,10
257,8
258,5
259,9
260,5
261,9
262,6
263,4
264,3
265,10
266,3
267,10
268,8
269,5
270,6
271,3
272,9
273,3
274,9
275,4
276,2
277,9
278,5
279,5
280,9
281,9
282,10
283,10
284,8
285,6
286,9
287,1
288,5
289,5
290,6
291,6
