,Class
0,9
1,9
2,9
3,6
4,6
5,10
6,6
7,6
8,4
9,2
10,10
11,10
12,2
13,6
14,6
15,9
16,2
17,9
18,3
19,10
20,9
21,9
22,6
23,10
24,5
25,9
26,5
27,2
28,3
29,6
30,5
31,0
32,9
33,7
34,10
35,1
36,4
37,5
38,3
39,5
40,5
41,1
42,5
43,6
44,3
45,9
46,0
47,9
48,5
49,10
50,9
51,10
52,3
53,10
54,9
55,10
56,4
57,5
58,9
59,10
60,3
61,9
62,3
63,9
64,1
65,8
66,10
67,6
68,7
69,10
70,6
71,10
72,1
73,4
74,5
75,10
76,6
77,6
78,9
79,10
80,3
81,2
82,6
83,9
84,9
85,9
86,9
87,10
88,1
89,6
90,5
91,10
92,0
93,2
94,1
95,7
96,10
97,3
98,3
99,1
100,3
101,3
102,5
103,10
104,9
105,8
106,9
107,1
108,1
109,4
110,9
111,10
112,5
113,2
114,6
115,5
116,3
117,9
118,9
119,3
120,5
121,9
122,6
123,10
124,9
125,6
126,10
127,10
128,8
129,5
130,8
131,0
132,4
133,6
134,5
135,9
136,10
137,6
138,9
139,9
140,6
141,3
142,9
143,9
144,8
145,1
146,5
147,5
148,6
149,10
150,9
151,10
152,8
153,0
154,9
155,6
156,9
157,8
158,10
159,9
160,9
161,3
162,5
163,3
164,6
165,9
166,10
167,3
168,10
169,3
170,9
171,6
172,7
173,6
174,9
175,10
176,6
177,6
178,10
179,9
180,4
181,9
182,0
183,10
184,9
185,10
186,9
187,9
188,0
189,10
190,9
191,9
192,5
193,5
194,6
195,0
196,7
197,4
198,5
199,6
200,5
201,5
202,9
203,3
204,9
205,4
206,10
207,6
208,10
209,0
210,5
211,9
212,5
213,9
214,0
215,2
216,9
217,8
218,10
219,10
220,6
221,5
222,3
223,2
224,9
225,6
226,4
227,3
228,9
229,9
230,9
231,6
232,7
233,5
234,10
235,10
236,3
237,4
238,10
239,9
240,8
241,9
242,0
243,10
244,9
245,9
246,5
247,10
248,9
249,9
250,10
251,1
252,8
253,10
254,10
255,8
256,5
257,9
258,5
259,9
260,6
261,4
262,3
263,10
264,3
265,10
266,8
267,5
268,6
269,3
270,9
271,3
272,9
273,4
274,2
275,9
276,5
277,5
278,9
279,9
280,10
281,10
282,8
283,6
284,9
285,1
286,5
287,5
288,6
289,6
290,5
291,3
292,5
293,6
294,6
295,5
296,8
297,10
298,9
299,4
300,1
301,10
302,0
303,0
304,10
305,9
306,9
307,0
308,9
309,4
310,6
311,5
312,6
313,10
314,4
315,9
316,3
317,8
318,10
319,9
320,2
321,5
322,10
323,9
324,5
325,3
326,6
327,0
328,10
329,7
330,10
331,5
332,4
333,3
334,9
335,0
336,5
337,10
338,3
339,9
340,5
341,8
342,5
343,5
344,0
345,10
346,10
347,5
348,6
349,7
350,6
351,5
352,5
353,0
354,6
355,4
356,3
357,5
358,9
359,3
360,9
361,2
362,10
363,5
364,0
365,9
366,5
367,10
368,0
369,9
370,6
371,5
372,4
373,5
374,0
375,9
376,6
377,9
378,9
379,8
380,5
381,5
382,10
383,3
384,8
385,10
386,9
387,7
388,6
389,0
390,9
391,0
392,9
393,5
394,6
395,10
396,3
397,9
398,0
399,3
400,9
401,9
402,6
403,9
404,9
405,3
406,5
407,3
408,5
409,0
410,9
411,9
412,9
