,Class
0,0
1,10
2,0
3,10
4,8
5,8
6,10
7,8
8,5
9,8
10,1
11,9
12,6
13,9
14,6
15,8
16,10
17,3
18,9
19,8
20,5
21,10
22,10
23,4
24,8
25,10
26,0
27,9
28,10
29,7
30,6
31,9
32,1
33,10
34,5
35,4
36,5
37,5
38,10
39,8
40,5
41,9
42,10
43,9
44,5
45,9
46,5
47,5
48,0
49,9
50,5
51,6
52,5
53,7
54,9
55,6
56,10
57,10
58,10
59,10
60,9
61,0
62,6
63,3
64,0
65,5
66,9
67,10
68,4
69,9
70,5
71,9
72,6
73,3
74,0
75,9
76,5
77,5
78,6
79,5
80,5
81,3
82,9
83,1
84,7
85,6
86,7
87,3
88,1
89,6
90,5
91,6
92,5
93,9
94,9
95,10
96,9
97,3
98,3
99,10
100,5
101,6
102,3
103,9
104,10
105,3
106,5
107,9
108,10
109,10
110,2
111,0
112,4
113,10
114,6
115,9
116,6
117,10
118,8
119,4
120,9
121,3
122,3
123,3
124,9
125,3
126,0
127,3
128,4
129,10
130,2
131,9
132,6
133,2
134,3
135,10
136,10
137,5
138,10
139,10
140,10
141,5
142,10
143,9
144,3
145,9
146,4
147,3
148,6
149,0
150,10
151,9
152,9
153,10
154,3
155,5
156,6
157,5
158,5
159,6
160,3
161,10
162,2
163,1
164,6
165,9
166,10
167,6
168,5
169,6
170,5
171,10
172,3
173,9
174,6
175,0
176,9
177,6
178,3
179,1
180,9
181,1
182,9
183,10
184,6
185,0
186,10
187,7
188,9
189,10
190,1
191,0
192,9
193,6
194,5
195,8
196,6
197,7
198,9
199,6
200,9
201,10
202,5
203,4
204,10
205,7
206,2
207,4
208,3
209,10
210,10
211,9
212,6
213,7
214,5
215,9
216,1
217,0
218,3
219,10
220,9
221,10
222,0
223,6
224,4
225,4
226,9
227,9
228,10
229,6
230,2
231,5
232,9
233,5
234,10
235,3
236,0
237,9
238,9
239,4
240,9
241,8
242,9
243,6
244,0
245,10
246,5
247,6
248,6
249,3
250,10
251,6
252,9
253,6
254,9
255,9
256,9
257,9
258,0
259,0
260,5
261,3
262,6
263,5
264,5
265,1
266,6
267,9
268,2
269,9
270,6
271,10
272,9
273,5
274,5
275,5
276,0
277,10
278,6
279,5
280,0
281,9
282,6
283,3
284,9
285,0
286,1
287,5
288,0
289,5
290,3
291,4
292,5
293,8
294,6
295,8
296,6
297,9
298,10
299,9
300,6
301,8
302,6
303,9
304,9
305,5
306,6
307,6
308,10
309,3
310,5
311,0
312,8
313,9
314,9
315,1
316,5
317,9
318,3
319,3
320,10
321,6
322,9
323,9
324,5
325,6
326,9
327,9
328,1
329,9
330,2
331,3
332,3
333,7
334,3
335,9
336,5
337,9
338,6
339,4
340,3
341,10
342,9
343,6
344,2
345,10
346,10
347,10
348,4
349,3
350,2
351,9
352,10
353,10
354,3
355,5
356,9
357,6
358,8
359,8
360,6
361,1
362,10
363,9
364,9
365,5
366,5
367,10
368,5
369,4
370,9
371,5
372,9
373,10
374,9
375,2
376,9
377,9
378,5
379,5
380,4
381,9
382,9
383,6
384,9
385,3
386,0
387,10
388,10
389,9
390,5
391,10
392,9
393,10
394,8
395,3
396,5
397,9
398,9
399,5
400,5
401,9
402,4
403,4
404,10
405,9
406,6
407,9
408,9
409,9
410,10
411,9
412,9
413,9
414,9
415,9
416,2
417,5
418,5
419,9
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,5
731,5
732,5
733,5
734,5
735,5
736,5
737,5
738,5
739,5
740,5
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,5
765,5
766,5
767,5
768,6
769,6
770,6
771,6
772,6
773,6
774,6
775,6
776,6
777,6
778,6
779,6
780,6
781,6
782,6
783,6
784,6
785,6
786,6
787,6
788,6
789,6
790,6
791,6
792,6
793,6
794,6
795,6
796,6
797,6
798,6
799,6
800,6
801,6
802,6
803,6
804,6
805,6
806,6
807,6
808,6
809,6
810,6
811,6
812,6
813,6
814,7
815,7
816,7
817,7
818,7
819,7
820,7
821,7
822,7
823,7
824,7
825,7
826,7
827,7
828,7
829,7
830,7
831,7
832,7
833,7
834,7
835,7
836,7
837,7
838,7
839,7
840,7
841,7
842,7
843,7
844,7
845,7
846,7
847,7
848,7
849,7
850,7
851,7
852,7
853,7
854,7
855,7
856,7
857,7
858,7
859,7
860,7
861,7
862,7
863,7
864,7
865,7
866,7
867,7
868,7
869,7
870,7
871,7
872,7
873,7
874,7
875,7
876,7
877,7
878,7
879,7
880,7
881,7
882,7
883,7
884,7
885,7
886,7
887,7
888,7
889,7
890,7
891,7
892,7
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,8
906,8
907,8
908,8
909,8
910,8
911,8
912,8
913,8
914,8
915,8
916,8
917,8
918,8
919,8
920,8
921,8
922,8
923,8
924,8
925,8
926,8
927,8
928,8
929,8
930,8
931,8
932,8
933,8
934,8
935,8
936,8
937,8
938,8
939,8
940,8
941,8
942,8
943,8
944,8
945,8
946,8
947,8
948,8
949,8
950,8
951,8
952,8
953,8
954,8
955,8
956,8
957,8
958,8
959,8
960,8
961,8
962,8
963,8
964,8
965,8
966,8
967,8
968,8
969,8
970,8
971,8
972,8
973,8
974,8
975,8
976,8
977,8
978,8
979,8
980,8
981,8
982,8
983,8
984,8
985,8
986,8
987,10
988,10
989,10
990,10
991,10
992,10
993,10
994,10
995,10
996,10
997,10
998,10
999,10
1000,10
1001,10
1002,10
1003,10
1004,10
1005,10
1006,10
1007,10
1008,10
1009,10
1010,10
1011,10
1012,10
1013,10
1014,10
1015,10
1016,10
1017,10
1018,10
