Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7719618545705503,0.6574345262580557,0.6745445552478142,0.8119457472266576,0.6331392271042879
rmsprop,1,0.7857129919888541,0.654419306184012,0.6881123749544802,0.8083176044191754,0.6292531564305585
adam,1,0.785640503416602,0.6424187577128753,0.67003885003885,0.8059014660441455,0.6663842406269858
adamax,2,0.6607438016528926,0.5756821609762786,0.5917990689407246,0.7699162594447457,0.6005917159763313
rmsprop,2,0.7488753670571853,0.5544042232277527,0.5940394661397796,0.7584942359804386,0.5939413470834676
adam,2,0.7068986568986569,0.5852522205463382,0.6073475750335433,0.7687823523275805,0.5714745999355602
adamax,3,0.6885642135642136,0.672086932675168,0.6641845660984417,0.8203682324116411,0.6554096972263391
rmsprop,3,0.6901700287330785,0.6576484300013712,0.6642206278569914,0.8127248688954782,0.6441054972990149
adam,3,0.6736914600550964,0.6469121075003428,0.6488648362080066,0.8066816882713689,0.6321265527126022
adamax,4,0.7249115320109236,0.644753873577403,0.6523403356466236,0.8081192873869694,0.6878980891719745
rmsprop,4,0.7163140952614637,0.6599712052653229,0.6596592949534125,0.8160191441147236,0.6898734177215189
adam,4,0.6973131141637083,0.6287823940765117,0.6336940836940838,0.8001311163813326,0.6870675891431612
adamax,5,0.8754376342611638,0.7206897024544084,0.7677336618513089,0.8495546661868446,0.7653006918573709
rmsprop,5,0.7786537134363222,0.7197586726998492,0.7319336042714256,0.8447795558290674,0.698500478570669
adam,5,0.7616096866096865,0.7336752136752137,0.7312113644012257,0.8500168238073287,0.6965967465753424
adamax,6,0.7374458874458873,0.6699478952420129,0.6697750326566794,0.8215575800967614,0.7002854424357754
rmsprop,6,0.7219449987352801,0.6898250377073907,0.6944727880053967,0.8302739603131595,0.7003804692454028
adam,6,0.716969696969697,0.6952760180995474,0.6875041383737037,0.8316098027529023,0.6765799256505576
