Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7561135833863107,0.6135184423419718,0.6428238428238428,0.7908102861485051,0.6524292578750668
rmsprop,1,0.717034632034632,0.640393665158371,0.6542550147722561,0.8026559782649212,0.651685393258427
adam,1,0.7621212121212122,0.6514193061840121,0.6737770694484692,0.8084932943851971,0.661472326706072
adamax,2,0.6704670329670329,0.6774193061840121,0.6624650543144086,0.822216381477188,0.6662428480610298
rmsprop,2,0.6510384615384615,0.6447269984917043,0.63968720821662,0.8047273012674596,0.6432742329334324
adam,2,0.6137632479892543,0.6448959276018099,0.622092490842491,0.8060485408158012,0.6658533998090591
adamax,3,0.5240704618174974,0.5080172768408062,0.5025365180628338,0.7335194031142686,0.5369592608147837
rmsprop,3,0.48559313532575565,0.49044151926504864,0.4772330086980476,0.7252317590498708,0.5476040353089533
adam,3,0.550293141202232,0.5488194158782395,0.5384667916753478,0.7559657027650979,0.5816733067729083
adamax,4,0.7214979377988783,0.6633936651583711,0.6799817981076531,0.8180142845819147,0.6979544001704667
rmsprop,4,0.6889139534300824,0.6257287810228986,0.6448777263633139,0.7959106444463668,0.6302027748132337
adam,4,0.6896472214654034,0.6856451391745509,0.6854377304841702,0.8300243289936887,0.7121164188547928
adamax,5,0.6106089543255319,0.53894419306184,0.5531336088154271,0.7506449923680264,0.5860856594928617
rmsprop,5,0.6305037068194963,0.5581242287124639,0.5679769249237517,0.7607142503110258,0.5978295563357804
adam,5,0.6253308485928807,0.5594433017962429,0.5687845744878335,0.7620015970595655,0.609375
adamax,6,0.805766960312415,0.6236679007267243,0.662114653023744,0.7950573624174863,0.6389038151531434
rmsprop,6,0.680226636108989,0.5975003427944604,0.6171160136650368,0.781586126924953,0.6210191082802548
adam,6,0.7000111408199644,0.655486082544906,0.6505974464600977,0.8115107744699213,0.6432742329334324
