Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6172761161397525,0.5669409022350198,0.5650661655159406,0.7659906434489716,0.6116453555954771
rmsprop,1,0.5191328873147054,0.5517893870835047,0.5232406381757031,0.7578518416299381,0.5927672955974843
adam,1,0.6157445296959364,0.5823016591251885,0.5694876044876045,0.7703664675165499,0.5793357933579335
adamax,2,0.809624060150376,0.6306757164404223,0.6673578495957011,0.7974716612744297,0.6488673139158576
rmsprop,2,0.7447823727996142,0.6369170437405731,0.6432633351054403,0.8001647920396376,0.6312652974353516
adam,2,0.7732466422466422,0.6419170437405731,0.6721243834525005,0.8035689984499811,0.6519461077844311
adamax,3,0.6637011137011138,0.5861154531742767,0.6093184456820819,0.7764685876303518,0.6320874920365258
rmsprop,3,0.6916763791763791,0.6012669683257919,0.6250330602064257,0.7846815767100085,0.6444444444444444
adam,3,0.6585248085248087,0.5830851501439738,0.6020254995914225,0.7746280950772602,0.6222222222222222
adamax,4,0.695330459770115,0.6505837104072397,0.6588975720588623,0.8062456186241131,0.6199297349089747
rmsprop,4,0.6903058153784106,0.6310603318250376,0.6430518718754012,0.7952145934985,0.5971867007672635
adam,4,0.6076163031571001,0.5443809132044426,0.562957603268608,0.7528076654645312,0.5746268656716418
adamax,5,0.7884337884337884,0.5892883587001233,0.6032062496780957,0.7767050211737906,0.607581420181527
rmsprop,5,0.6471180334816699,0.6345948169477581,0.6125690032428804,0.8007804420493276,0.6276595744680851
adam,5,0.7233225108225108,0.6404132730015083,0.6419892178846572,0.8015987780890548,0.6302422366876534
adamax,6,0.7523151536520519,0.6287357740298917,0.6501001628691728,0.7981147327481736,0.642895100435753
rmsprop,6,0.7388028638028638,0.6759426847662141,0.6813732267552866,0.8194869098100881,0.6309511130045798
adam,6,0.6332900432900432,0.5668250377073907,0.5797642368949669,0.7611102015510268,0.559155990957046
