Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7670271184625252,0.6355930344165639,0.6672392858980296,0.8020583338055732,0.6616177892362229
rmsprop,1,0.7310519249021925,0.6518908542437954,0.6708678782023964,0.8093878657287583,0.6422868093260938
adam,1,0.750727308336004,0.6022130810366104,0.6506501969845078,0.7826755196500319,0.6044984933275935
adamax,2,0.7666863439590713,0.7412669683257918,0.746702597645994,0.8584927301625703,0.7334179625515709
rmsprop,2,0.7460176632636526,0.6970012340600577,0.7032396186182652,0.8351493887214029,0.7093270868824532
adam,2,0.7399187117353502,0.6901384889620185,0.6959057448187882,0.830368063593393,0.676785903831865
adamax,3,0.7340685630159315,0.6899945152886329,0.6993779603313072,0.8308443938407614,0.689807976366322
rmsprop,3,0.6996654860291224,0.6551227204168381,0.6638401161128433,0.8140746529414663,0.7
adam,3,0.6507936507936508,0.6617526395173454,0.6428994494783968,0.8139088647415328,0.6562103929024081
adamax,4,0.7688651218062982,0.6832478632478632,0.6896781536319819,0.8224716986406536,0.6608161946807365
rmsprop,4,0.7401154401154401,0.6618686106921401,0.6754772774896614,0.8112783136535878,0.6500752526338421
adam,4,0.7147525676937441,0.6500737388972683,0.6537528583197134,0.8046717941666336,0.6380480448130992
adamax,5,0.7325637325637324,0.6910530645824764,0.7023881310962651,0.8313311395312301,0.6890862944162437
rmsprop,5,0.7257781550650821,0.6855985191279309,0.6947111810748174,0.8278625420733982,0.6760293648260454
adam,5,0.703427217943347,0.6540367475661593,0.6650722305319156,0.8116955300426792,0.6646795827123696
adamax,6,0.6494621540076085,0.6491457562045797,0.6353553853553854,0.8076358635574575,0.6236955834299568
rmsprop,6,0.5929803529803529,0.581313588372412,0.5797178844547265,0.7738620096648628,0.6230200633579726
adam,6,0.5990620490620491,0.5673275743863978,0.5762305012168819,0.7655932826045299,0.5987687082050739
