Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.5404147265989372,0.5731719457013573,0.534909221213569,0.7625792305423114,0.5151133501259446
rmsprop,1,0.5775493025493026,0.6492956259426849,0.5976816166289851,0.8026746479337457,0.5584060561455158
adam,1,0.5689198165668754,0.5945776772247361,0.566740114105843,0.7754931549098611,0.5581737849779087
adamax,2,0.7147546897546898,0.6096818867407102,0.6068432545195599,0.7872838645353529,0.6107403876707975
rmsprop,2,0.6619244391971665,0.570744549568079,0.5592232406882794,0.7660239291851529,0.5682656826568266
adam,2,0.6198170603343016,0.5891266968325792,0.5682543966754493,0.773706072690063,0.5769271551267097
adamax,3,0.7608585858585858,0.6432579185520363,0.6750372047304612,0.8079345241164507,0.6979222163026105
rmsprop,3,0.6596675254569992,0.6365021253256548,0.6369352572561129,0.802843248568296,0.6504005826656956
adam,3,0.7652400629673356,0.6532579185520362,0.6800940487793805,0.8124210305734206,0.6871341917633287
adamax,4,0.7201167519349337,0.6308802961744138,0.626540556431321,0.7999959613714562,0.655883285759594
rmsprop,4,0.6573343323343322,0.6325915261209378,0.6344555290609809,0.8013052938566695,0.6666313895650333
adam,4,0.6955257449328596,0.6384327437268613,0.6416613689340962,0.8041829649614513,0.6667724531894637
adamax,5,0.760870816426372,0.7285637673872968,0.7329451863291205,0.8468894088117844,0.686199167467179
rmsprop,5,0.6370562770562771,0.6494660633484163,0.6350948071536308,0.8083360345895892,0.666030534351145
adam,5,0.7430462653288741,0.7286349924585218,0.7127081865502917,0.8496544688230742,0.7017673048600883
adamax,6,0.6847397530006225,0.6548250377073905,0.6326708018503684,0.8108635547181512,0.6577646935127746
rmsprop,6,0.7097933177933177,0.6351070889894419,0.6361146959136016,0.8006712823554636,0.6550079491255961
adam,6,0.6832535438417792,0.630865761689291,0.638659495412982,0.7966127520926399,0.6203339359778794
