Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.716324387075375,0.663844782668312,0.683000333000333,0.815068886227836,0.6347633603878993
rmsprop,1,0.6926588753523737,0.628580830933772,0.6513270899296306,0.7959030440292687,0.6005072923272036
adam,1,0.7262071262071262,0.7246647470176882,0.7150654028012519,0.8471040309187756,0.6687697160883281
adamax,2,0.6064669685359342,0.5657891128479363,0.5682334164152345,0.7635127156667455,0.5754867539099904
rmsprop,2,0.6569874952633574,0.6153469079939669,0.6055925205398889,0.7871127032271292,0.5883225601356363
adam,2,0.5803463203463203,0.5594720965309201,0.5552673823709765,0.7611720289148839,0.5891497461928934
adamax,3,0.7573078473813767,0.714753873577403,0.7068688004557738,0.84482938156297,0.7221634208298052
rmsprop,3,0.7543044077134986,0.7049266419854656,0.7076175977132915,0.8398336340192141,0.7218985061976905
adam,3,0.671133412042503,0.666049636637872,0.6461516644275266,0.8189028928981361,0.688295165394402
adamax,4,0.696723137973138,0.6096802413273001,0.6241372662425295,0.7872910941312351,0.6511254019292605
rmsprop,4,0.7659839365721719,0.5981708487590841,0.6407895442810054,0.7822461720644625,0.6384764364105875
adam,4,0.7058053788316947,0.5996802413273002,0.6243394383394384,0.7812552269575612,0.6366389099167298
adamax,5,0.7004212454212454,0.6304660633484163,0.6301105997221426,0.7962395735183239,0.619402985074627
rmsprop,5,0.6294413919413919,0.6345837104072398,0.6133791323354678,0.7979297620384547,0.6100795755968169
adam,5,0.6135198135198136,0.6098250377073906,0.6038624644848994,0.7862746588669968,0.6213808463251671
adamax,6,0.6564316909144496,0.6060510078157137,0.6164127829529403,0.7869908273130789,0.6430089247768807
rmsprop,6,0.6684142633903399,0.6797943233237351,0.6646663481446088,0.8255906991824474,0.6797096875986115
adam,6,0.7136676631891944,0.6616358151652268,0.6611988011988013,0.8169757023106783,0.6896442520848728
