Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7154869681558395,0.6706241373006079,0.6761711528664786,0.8204430334234618,0.6791733516848342
rmsprop,1,0.712125818958209,0.6670339366515837,0.6658041741513538,0.8175933191888148,0.6646451207807139
adam,1,0.7006066545568203,0.6430437634261164,0.6569739463013983,0.8053647973873721,0.6510370444083381
adamax,2,0.7376040779585374,0.6887508798391151,0.6957029234248102,0.8303811952073218,0.6977219595904568
rmsprop,2,0.7294947559186179,0.6648448969331322,0.6744335437455601,0.8171912317725379,0.6762587855879754
adam,2,0.7237952636541131,0.6642690707984825,0.6746308551878363,0.8172551911508269,0.6770835221427154
adamax,3,0.7539791814968035,0.6730137574843457,0.6838103091709481,0.8206691126353616,0.6639063970659608
rmsprop,3,0.7264800880084147,0.6600733351615705,0.665567266461113,0.8141763194960708,0.6623519853862075
adam,3,0.7149302866226132,0.6386407742584213,0.6518822256286562,0.8031565236894478,0.6511556394047138
adamax,4,0.7364455056358611,0.6817168670109846,0.6901235856598271,0.825472359923041,0.6764069667801754
rmsprop,4,0.7059348370593072,0.6554659211521957,0.6646423259921183,0.8119357954639127,0.6667897628377345
adam,4,0.6931135842606908,0.6375903783942999,0.6474184968917006,0.8014855091331334,0.6398318542987349
adamax,5,0.7291753460574112,0.682071966522947,0.6860772501148018,0.8247242447802586,0.6680607776986269
rmsprop,5,0.6952916353637782,0.6703007069183539,0.6616403725129295,0.8183733354403566,0.6542440997121107
adam,5,0.7079828144090331,0.6756550878315584,0.6702676420877984,0.8217721784519578,0.6690481559239198
adamax,6,0.7172821197416986,0.6880669134786782,0.6865683314866978,0.8273302304166998,0.6627619835509829
rmsprop,6,0.70881009150617,0.6893011563599799,0.6821137874017875,0.8273103659912855,0.6515012881608049
adam,6,0.7081831802910235,0.6643542895013483,0.6700312599012687,0.8153163119314994,0.6475188184042118
adamax,7,0.7323822695405838,0.6630050276520865,0.6704760127828752,0.8139172399050971,0.6442946404938944
rmsprop,7,0.7272976327619922,0.6793280542986425,0.6821696223105346,0.8229331443569544,0.6653198538017457
adam,7,0.7164172300259692,0.6626889305320679,0.6636501776232109,0.813414952048201,0.6428649878906633
adamax,8,0.7237684845840193,0.6742755381873029,0.682735744163248,0.8215967577292358,0.671075488617579
rmsprop,8,0.7274915950569033,0.6835035193564605,0.6830168826473834,0.8268810783669712,0.6833600948346646
adam,8,0.7104205201364292,0.6583075323369442,0.6673580816660754,0.8128045902479206,0.6540221789559136
adamax,9,0.7236626417460865,0.6632944604415192,0.6726397518565296,0.8152019297133659,0.658785593411295
rmsprop,9,0.6833490113872879,0.640107043283514,0.6425752696420238,0.8034942210787972,0.6524929073937732
adam,9,0.716346740413396,0.6454819918643449,0.6554004733631072,0.8053462774607963,0.6450532937215897
adamax,10,0.6935257249326612,0.650156040038393,0.6551803566993498,0.8092016898050179,0.661771498788899
rmsprop,10,0.706784276590784,0.6511016499840029,0.6559172107911684,0.8094131143737915,0.6613206958611456
adam,10,0.6970937261210967,0.657385049590932,0.6635474117842523,0.8120696682172222,0.6524834322623685
