Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6812260943105658,0.6066856574797751,0.6203697974029523,0.7865499659246837,0.6369382257675019
rmsprop,1,0.6515218518377573,0.5976808583573289,0.6010004015198339,0.7813769485185301,0.6200482190220424
adam,1,0.6626332903543048,0.6110424151012386,0.6121848645084373,0.7873962982035883,0.6174213981583819
adamax,2,0.6881684441091903,0.6261721513780336,0.6280662889536003,0.7962791728795939,0.6397025290024322
rmsprop,2,0.7024599241128165,0.6420870063124965,0.6454818474831995,0.8035300970928123,0.642075711406855
adam,2,0.6652964487203618,0.6067818456053751,0.6151091906248403,0.7874395371230071,0.6471209436897832
adamax,3,0.7000383120361483,0.649736025412496,0.6537197841240204,0.8083706729677056,0.6479603217310531
rmsprop,3,0.658786764625226,0.6148315736551031,0.6158204383243713,0.7885708330282409,0.604624974766065
adam,3,0.6440977489104073,0.5883044014808722,0.5944351155675475,0.774930234714012,0.5896730004772881
adamax,4,0.7088673039111636,0.6106796471502354,0.6271946787533497,0.7896458366707573,0.6525898933078355
rmsprop,4,0.6568142974510914,0.6146670830984556,0.6156579436030506,0.7898666189293119,0.6259468762402924
adam,4,0.6510933441669088,0.5900119749531515,0.5933199832656227,0.7776083880785519,0.6211398983982145
adamax,5,0.6412015134621176,0.6083892088303853,0.6036733888517413,0.7873136542223644,0.630072739883802
rmsprop,5,0.6421118951079251,0.6309241053064583,0.623339401648002,0.7987041174137174,0.6438283201556807
adam,5,0.6382037209693148,0.6219286530463001,0.6129083590222678,0.7936076617512935,0.631953717455172
adamax,6,0.7182278544648808,0.6714585447232505,0.6745581892612836,0.8196440417678877,0.6639260282805536
rmsprop,6,0.6621754269061865,0.644429800772938,0.6401769517177093,0.8029045570421234,0.6156292267279236
adam,6,0.6898945306916673,0.6188686868686869,0.6279043086444447,0.7913115850044542,0.6141500702225753
adamax,7,0.6996549900371883,0.6035678733031674,0.611521322137655,0.7825968030472553,0.616630781096895
rmsprop,7,0.706444616417281,0.6111472187942776,0.6214495365916903,0.7874654463975697,0.6256305547590059
adam,7,0.7017233922177758,0.6280723880331723,0.6356924787996928,0.7945576732739085,0.6172069505620014
adamax,8,0.6889458795502531,0.6317641802641802,0.6381271997981589,0.7989887464033649,0.6409918078180773
rmsprop,8,0.694631728372189,0.6435672105672106,0.6472287054906488,0.8047693357601627,0.6398323430444245
adam,8,0.6684466190227752,0.6368879290643996,0.6343141922704824,0.8019474234778384,0.6489797726670655
adamax,9,0.6980674425169283,0.6319270457211634,0.6369041810760541,0.7979789227279781,0.6348621063394474
rmsprop,9,0.6876455520720791,0.6268115265272128,0.6263677980985746,0.7950562987102421,0.6321837184914647
adam,9,0.6485307700274608,0.6133054603348721,0.6111330779600166,0.7882445906142657,0.6267243141804061
adamax,10,0.6822937808334447,0.6405397514613201,0.6430863681741742,0.802197352774944,0.6282021901707503
rmsprop,10,0.6594487775517891,0.6266148132912839,0.6273566324627089,0.7965993644034461,0.6405074127498753
adam,10,0.6500407199065988,0.6089259208474895,0.6119325791426493,0.7855725413253983,0.6109911093669825
