Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6742042268101965,0.5968029617441382,0.6083398338630382,0.7809430758666253,0.6253391274204713
rmsprop,1,0.6645925370540514,0.5975979706567941,0.603704961331796,0.7809385347518862,0.6164043392666413
adam,1,0.6766892385051975,0.5614293843411491,0.5798403393374344,0.7620931996160073,0.6025762272932339
adamax,2,0.6785894526502009,0.6147335649100355,0.617406808887269,0.7900589784356159,0.6373926315899489
rmsprop,2,0.6977703289574558,0.6247751725398784,0.6330594401352242,0.7961080298950133,0.6506988981966302
adam,2,0.683703422246203,0.5964732620320855,0.6064638848729792,0.7811334659404676,0.6343109886371262
adamax,3,0.7211134486411996,0.6087233191644955,0.6256577408999758,0.7868327108166383,0.6271677361790192
rmsprop,3,0.6719697253256073,0.6219285387814799,0.6214218558935228,0.7930300259562499,0.6207124042862014
adam,3,0.6686241396228403,0.5931538461538461,0.6047247575966267,0.777346701024734,0.602921536113488
adamax,4,0.7116415901422295,0.6033403238011081,0.621868822725198,0.7823300913816275,0.6111898616203367
rmsprop,4,0.6786626646123392,0.5662578017479979,0.5831629374977886,0.7625490008005341,0.586945152343297
adam,4,0.6869797589858729,0.5962590332688373,0.6112054510340628,0.7788868690855653,0.6068419780206101
adamax,5,0.6654473005654152,0.6172823839196389,0.6194048145583506,0.7907711904750357,0.6361827930771552
rmsprop,5,0.6909175791694708,0.6355530975923132,0.6305709942343708,0.79920884969349,0.635848894246846
adam,5,0.64840043903177,0.6005825677590383,0.5994734938078782,0.7816490204281621,0.6173906867665041
adamax,6,0.645651008684654,0.6008452625805567,0.6024652591198992,0.7818826228565614,0.6075165347330739
rmsprop,6,0.6487456629588819,0.6024670231729056,0.6026877439239845,0.7823839640213844,0.6099667553643064
adam,6,0.6427070875174591,0.5867980255039078,0.5902501715085519,0.7737327553510677,0.5886096505898235
adamax,7,0.7094009244639078,0.621865423973267,0.6375488373030486,0.7903934285386028,0.612294741384991
rmsprop,7,0.7170702849536923,0.5917640913915424,0.6053280824900719,0.7739401608509873,0.5922978591686074
adam,7,0.681764325604195,0.5959899370781724,0.6049041735804913,0.7778041284355096,0.6091206334125345
adamax,8,0.6659130117655027,0.5987930435577494,0.6131036086458143,0.7821616023612353,0.6266351114749789
rmsprop,8,0.6914478258860354,0.6062829654006124,0.6212066308400667,0.7856796592522449,0.6304804915962569
adam,8,0.685460659246116,0.6018914255678961,0.616960802097155,0.7831547188054627,0.6245981387942461
adamax,9,0.6582451770352841,0.6268604813849912,0.6181830071356912,0.7932816037770261,0.6155464090047148
rmsprop,9,0.6857087016169471,0.6139182524084484,0.614392467296449,0.7860024147071907,0.6067439987555058
adam,9,0.6385915510861566,0.585988243419616,0.5823852771427044,0.7740388121574865,0.6134553030726105
adamax,10,0.6907431250717854,0.6268667443667444,0.6355961584276808,0.7968593001817489,0.6515044034769782
rmsprop,10,0.6555213229994747,0.6223746032471523,0.6241520496322444,0.7924848402291934,0.6263628186483537
adam,10,0.6286312008159601,0.5769404426365211,0.5827171178598759,0.7680460714790319,0.5885562228279065
