Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6786865777102237,0.6178264545911604,0.6261592814194006,0.7929044581364512,0.6457125976905084
rmsprop,1,0.672615309593028,0.6137497371909136,0.6187728554048664,0.7893298261423155,0.623386844055347
adam,1,0.6701087182538107,0.6147483660130718,0.6217398424468543,0.7903332042969621,0.6307044251486685
adamax,2,0.6956190567857475,0.6350003199414965,0.6423502166395844,0.801247986349965,0.6527524359122597
rmsprop,2,0.6801156365488198,0.6405195849901731,0.6366699422389935,0.8051183278761979,0.6673177850394173
adam,2,0.6770192483085551,0.628217400246812,0.6271851270767688,0.7980432592242904,0.6494806805102868
adamax,3,0.6898613217058106,0.6270740436034553,0.634657635859759,0.7957902160684003,0.6217154547804445
rmsprop,3,0.653377384642211,0.6174548425430778,0.6151508117874914,0.7914611088558051,0.6231363062123115
adam,3,0.6639888948732665,0.610229078111431,0.6158178408712035,0.7872715885148475,0.6182485097678415
adamax,4,0.6444079890489002,0.5808629736276796,0.5904861871296659,0.7734421516395408,0.6302066920577498
rmsprop,4,0.6282269761413324,0.5684535399241281,0.5769338561615017,0.7669760786684847,0.6172896912698889
adam,4,0.6350214144721721,0.5778296540061246,0.5807944729615223,0.7715681779297351,0.617381155859781
adamax,5,0.6969592205956903,0.6400634753772008,0.6348243708457333,0.8025910906825845,0.6372705168064834
rmsprop,5,0.6505541990645659,0.6289511632158691,0.6165841911169317,0.7969757394148195,0.6274570324183021
adam,5,0.6793004156620043,0.6391492984140044,0.6346862684096738,0.8020117406750851,0.6351848043158964
adamax,6,0.7031517908979255,0.652930138488962,0.655075114824187,0.8086142401969943,0.6334823988223758
rmsprop,6,0.6666517457184716,0.6381695004342064,0.6258095547520758,0.8004626031239281,0.6159650800488637
adam,6,0.6586383180649839,0.6103359385712327,0.6162816266954894,0.7872693206214908,0.6139611600951244
adamax,7,0.7252286986658539,0.6295865771846163,0.6402936397773985,0.7963980451857359,0.6343074577502139
rmsprop,7,0.6951142556451174,0.6385431540137423,0.6412713897292269,0.8005716237487875,0.6326588925590034
adam,7,0.720938717049496,0.6399132501485443,0.6464004990567119,0.8014560010878166,0.6257177656727445
adamax,8,0.6952667970637963,0.6401690433749258,0.6470650515033018,0.8030200842803752,0.6379673015256095
rmsprop,8,0.6762480484759537,0.6217615064673888,0.6328462648661631,0.7928689101399403,0.6252709528259573
adam,8,0.7012965926934965,0.6359206316559257,0.6441249626164625,0.8010277151421681,0.6410933024314076
adamax,9,0.64641145496845,0.6154350061703003,0.6107469241686325,0.7901636169653639,0.6355508558875858
rmsprop,9,0.6698016714157059,0.6244636409342292,0.6263672276866745,0.7952386681285885,0.6412307235138698
adam,9,0.6335582787079531,0.6132939805292746,0.6059385077428615,0.7884640434768397,0.6241125578054197
adamax,10,0.6505849697040514,0.6019038804332921,0.6103107303636629,0.7831388849847462,0.6192787110531683
rmsprop,10,0.6629737497132925,0.6301976502074541,0.6293541616437123,0.7970150836996502,0.6277473433086613
adam,10,0.6634602162608424,0.6153154394624983,0.6195057230183384,0.7905273256274596,0.6335171295272434
