Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7185707921392007,0.6581012614836144,0.6645261014231828,0.8142815955758557,0.6771127409820092
rmsprop,1,0.6945014339884518,0.6731812468577174,0.6685674237474769,0.8219003627360463,0.6786083133595279
adam,1,0.7217160811194335,0.6486485671191553,0.6616855311509519,0.8080191102572668,0.6509733658450043
adamax,2,0.7420497504277966,0.6800536714556323,0.6896687804990362,0.82454865570155,0.6799045841000378
rmsprop,2,0.715301456344288,0.694651692896791,0.6893459040132717,0.8327074166732555,0.6910629582773321
adam,2,0.7527791245133143,0.6779520544814662,0.6899696656960826,0.8242486771982024,0.6893261930282716
adamax,3,0.7237955151495644,0.6650126376891082,0.6738965332395845,0.816519500843527,0.6643885224399083
rmsprop,3,0.7222558433444272,0.6636030897207368,0.6678192110277754,0.8155407113355345,0.6535283177093413
adam,3,0.7176279525372024,0.659873326020385,0.6682685843701703,0.8129374339559546,0.6487405401789463
adamax,4,0.6814972683063756,0.6184176556921654,0.6321760680213169,0.7918664395014129,0.637947146443033
rmsprop,4,0.6787009895881052,0.6147122354769413,0.6195382723390758,0.7896751659506479,0.6226779923055119
adam,4,0.665387024734759,0.6069081971042756,0.6143669645847908,0.7851257865047373,0.6161369354940633
adamax,5,0.7178131245527143,0.6915450457313203,0.6849074299469243,0.8293251894048779,0.6683454386087844
rmsprop,5,0.6865619031520637,0.6663430559999188,0.6571313147593826,0.8161861800203186,0.6522621443688758
adam,5,0.7193094590450677,0.6752908852222578,0.6751873921308308,0.8225317350785737,0.6863922062774822
adamax,6,0.7446522429006635,0.6821176699117877,0.6929975659947155,0.8251501884244892,0.670266867653175
rmsprop,6,0.7089577269134554,0.6841034782211253,0.6810450855101137,0.8260969696943953,0.6700810890038653
adam,6,0.7089105115480704,0.67195184880479,0.673074473798501,0.8189780799947637,0.6454131358037029
adamax,7,0.7348277601268167,0.6641209759739172,0.6699217695510576,0.8144081056801249,0.6482692907235945
rmsprop,7,0.7453557254556946,0.6854908816673522,0.6928697520622683,0.8274242095038868,0.6875041688356985
adam,7,0.72109204018576,0.6699034893936854,0.6759139091906491,0.8174996735290406,0.6518400355590491
adamax,8,0.7172850278584869,0.6567626262626263,0.6718237178688947,0.8127030875964825,0.6683511868148272
rmsprop,8,0.7268586295859024,0.6786951033715739,0.684369592800601,0.8230768837975636,0.665060037882127
adam,8,0.7023990313214061,0.6709019836372777,0.6701796046494483,0.8196842341681254,0.6715796950468528
adamax,9,0.7341268008221821,0.674211138534668,0.6839553983573654,0.8209089793284275,0.6734948707700861
rmsprop,9,0.7120646864774892,0.6633319418417457,0.6677195525859556,0.8126580658585434,0.6363675779448587
adam,9,0.6805753405658271,0.653142358730594,0.6501189224380958,0.8092444194529244,0.6430811130647992
adamax,10,0.7267706180964525,0.6497805429864253,0.6659732146044798,0.8092066375064074,0.6664627681748749
rmsprop,10,0.6960998847748856,0.6415158142511084,0.6479911602935893,0.8053827890565176,0.6706379716766623
adam,10,0.6965629981789755,0.6536341926047808,0.6571346609344804,0.8115619981916287,0.6720104267982445
