Optimizer,Interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7431774872509386,0.6567658485305544,0.6700628700735988,0.8135769621256032,0.6737708106286798
rmsprop,1,0.7402785325353639,0.6560044791809498,0.6720730260302478,0.8117682282586739,0.6593423943917719
adam,1,0.7236871863522412,0.6553861186018048,0.6631101412915689,0.8105205415974431,0.655038275774035
adamax,2,0.7464088284314888,0.6867358349711291,0.6885986769550523,0.8254728296244868,0.6579411625729156
rmsprop,2,0.7687664200388483,0.670867155720097,0.6894073254147254,0.8199619023184574,0.675905229235767
adam,2,0.7334753479244478,0.6870730660044385,0.686328985316901,0.8249898946918583,0.6476724582533914
adamax,3,0.7240384281866418,0.660566730654966,0.6658932790023872,0.813261082365616,0.6489835819105468
rmsprop,3,0.7328883597833347,0.6597319321927165,0.6716637473448984,0.8109875192207685,0.633613693183359
adam,3,0.7219488212121221,0.6620778397347026,0.6607096043048062,0.811990087262374,0.6275285936286726
adamax,4,0.7273865891016306,0.6482164861282508,0.6551175163887537,0.8069025666552022,0.640933151820458
rmsprop,4,0.7396381845328279,0.6533217976649349,0.665026733773465,0.8071596321228234,0.6338881963512472
adam,4,0.6894654007989658,0.6231327909563203,0.6328386858744534,0.7926119181858119,0.6136176982867637
adamax,5,0.7258690954673345,0.6892577001792688,0.6896559313773705,0.8275150987572834,0.6640759384238594
rmsprop,5,0.7291465259964709,0.7121388165211694,0.7035613818034113,0.8393795434225622,0.6760003278344545
adam,5,0.7338334226748704,0.6864842746215295,0.689704216176391,0.825759556818522,0.6612325657853982
adamax,6,0.727764180452676,0.6676829379770557,0.6783583907657426,0.8170538025962802,0.6579039704144991
rmsprop,6,0.719656013686186,0.69706960124117,0.694399193798256,0.8303828741153801,0.6535848057561122
adam,6,0.7151288578155635,0.6897647719020269,0.684790235536553,0.8266843135516365,0.641875131238345
adamax,7,0.7496906463821863,0.6801121166415283,0.6917776993412127,0.8220536931213299,0.6613332527787869
rmsprop,7,0.7388989452759631,0.6708778280542985,0.6790727380680116,0.8157970732348829,0.6407875806532118
adam,7,0.7362270690094525,0.6603784806333826,0.6713774462096841,0.8124737295109782,0.6532137566557424
adamax,8,0.743287086065897,0.6679867681338271,0.6836750499983489,0.8183877244753045,0.6704511717164173
rmsprop,8,0.7549576925855522,0.6591126651126652,0.6756830296867634,0.8136609303650623,0.6658159163509838
adam,8,0.7219143330494845,0.6498735774029892,0.6642464070078852,0.808033702431453,0.6506198007671768
adamax,9,0.7155406528733009,0.6853439625008253,0.6818915382823411,0.8245296073881399,0.6524484747491078
rmsprop,9,0.7172089053999594,0.7043229877421054,0.686646415258466,0.8292324578616309,0.6197100391143886
adam,9,0.6946357088520307,0.663796044913692,0.6581567845543849,0.8127326818383028,0.6357490555126
adamax,10,0.7191216142496999,0.666894612286769,0.6754742069222988,0.8143109608414235,0.6348230377077723
rmsprop,10,0.7425669021617206,0.6621617507401821,0.6777213991115566,0.8115792953638169,0.6262910061387017
adam,10,0.7097714723589278,0.6485665757626542,0.6550278117905933,0.8060576823084694,0.6398427815679901
